alg,op,n,ns
Ed25519,append_hop,2,35770
Ed25519,append_hop,2,35364
Ed25519,append_hop,2,35355
Ed25519,append_hop,2,35851
Ed25519,append_hop,2,35436
Ed25519,append_hop,2,35655
Ed25519,append_hop,2,35306
Ed25519,append_hop,2,35665
Ed25519,append_hop,2,35477
Ed25519,append_hop,2,35530
Ed25519,append_hop,2,35489
Ed25519,append_hop,2,35593
Ed25519,append_hop,2,35335
Ed25519,append_hop,2,35503
Ed25519,append_hop,2,35162
Ed25519,append_hop,2,35333
Ed25519,append_hop,2,35432
Ed25519,append_hop,2,35668
Ed25519,append_hop,2,35240
Ed25519,append_hop,2,35418
Ed25519,append_hop,2,35404
Ed25519,append_hop,2,43135
Ed25519,append_hop,2,39141
Ed25519,append_hop,2,48758
Ed25519,append_hop,2,39714
Ed25519,append_hop,2,36856
Ed25519,append_hop,2,35563
Ed25519,append_hop,2,35602
Ed25519,append_hop,2,35439
Ed25519,append_hop,2,35601
Ed25519,append_hop,2,35428
Ed25519,append_hop,2,35443
Ed25519,append_hop,2,35514
Ed25519,append_hop,2,35476
Ed25519,append_hop,2,35511
Ed25519,append_hop,2,35242
Ed25519,append_hop,2,35356
Ed25519,append_hop,2,35643
Ed25519,append_hop,2,35296
Ed25519,append_hop,2,38884
Ed25519,append_hop,2,36745
Ed25519,append_hop,2,35512
Ed25519,append_hop,2,41602
Ed25519,append_hop,2,36496
Ed25519,append_hop,2,35534
Ed25519,append_hop,2,35502
Ed25519,append_hop,2,35456
Ed25519,append_hop,2,35500
Ed25519,append_hop,2,35592
Ed25519,append_hop,2,35288
Ed25519,append_hop,2,42008
Ed25519,append_hop,2,37276
Ed25519,append_hop,2,35747
Ed25519,append_hop,2,35473
Ed25519,append_hop,2,35384
Ed25519,append_hop,2,35537
Ed25519,append_hop,2,35452
Ed25519,append_hop,2,35622
Ed25519,append_hop,2,35646
Ed25519,append_hop,2,35676
Ed25519,append_hop,2,35202
Ed25519,append_hop,2,35394
Ed25519,append_hop,2,35566
Ed25519,append_hop,2,35539
Ed25519,append_hop,2,35966
Ed25519,append_hop,2,35527
Ed25519,append_hop,2,35437
Ed25519,append_hop,2,35057
Ed25519,append_hop,2,44321
Ed25519,append_hop,2,37592
Ed25519,append_hop,2,36530
Ed25519,seal,2,24085
Ed25519,seal,2,24113
Ed25519,seal,2,23952
Ed25519,seal,2,23986
Ed25519,seal,2,24114
Ed25519,seal,2,24028
Ed25519,seal,2,23967
Ed25519,seal,2,23847
Ed25519,seal,2,24014
Ed25519,seal,2,23876
Ed25519,seal,2,24002
Ed25519,seal,2,24026
Ed25519,seal,2,23877
Ed25519,seal,2,23952
Ed25519,seal,2,24420
Ed25519,seal,2,24087
Ed25519,seal,2,23832
Ed25519,seal,2,23935
Ed25519,seal,2,24058
Ed25519,seal,2,23931
Ed25519,seal,2,24112
Ed25519,seal,2,24081
Ed25519,seal,2,23909
Ed25519,seal,2,23971
Ed25519,seal,2,24011
Ed25519,seal,2,23888
Ed25519,seal,2,23899
Ed25519,seal,2,23846
Ed25519,seal,2,23977
Ed25519,seal,2,23984
Ed25519,seal,2,24153
Ed25519,seal,2,23940
Ed25519,seal,2,24049
Ed25519,seal,2,24024
Ed25519,seal,2,23964
Ed25519,seal,2,24045
Ed25519,seal,2,23956
Ed25519,seal,2,24010
Ed25519,seal,2,24065
Ed25519,seal,2,24048
Ed25519,seal,2,24118
Ed25519,seal,2,23955
Ed25519,seal,2,23971
Ed25519,seal,2,24015
Ed25519,seal,2,24055
Ed25519,seal,2,23893
Ed25519,seal,2,24183
Ed25519,seal,2,23977
Ed25519,seal,2,23968
Ed25519,seal,2,24021
Ed25519,seal,2,23921
Ed25519,seal,2,24016
Ed25519,seal,2,23989
Ed25519,seal,2,23962
Ed25519,seal,2,24141
Ed25519,seal,2,24119
Ed25519,seal,2,23835
Ed25519,seal,2,32560
Ed25519,seal,2,25487
Ed25519,seal,2,24525
Ed25519,seal,2,24653
Ed25519,seal,2,24300
Ed25519,seal,2,23981
Ed25519,seal,2,24174
Ed25519,seal,2,24215
Ed25519,seal,2,24190
Ed25519,seal,2,24177
Ed25519,seal,2,24108
Ed25519,seal,2,24074
Ed25519,seal,2,24015
Ed25519,seal,2,24094
Ed25519,seal,2,24075
Ed25519,seal,2,24095
Ed25519,seal,2,24129
Ed25519,seal,2,24109
Ed25519,seal,2,24290
Ed25519,seal,2,24199
Ed25519,seal,2,24592
Ed25519,seal,2,24585
Ed25519,seal,2,24861
Ed25519,seal,2,25311
Ed25519,seal,2,24539
Ed25519,seal,2,24429
Ed25519,seal,2,24722
Ed25519,seal,2,24516
Ed25519,seal,2,24546
Ed25519,seal,2,24610
Ed25519,seal,2,24792
Ed25519,seal,2,25265
Ed25519,seal,2,24657
Ed25519,seal,2,24912
Ed25519,seal,2,24979
Ed25519,seal,2,25382
Ed25519,seal,2,25160
Ed25519,seal,2,25356
Ed25519,seal,2,24438
Ed25519,seal,2,25126
Ed25519,seal,2,24624
Ed25519,seal,2,28469
Ed25519,seal,2,24261
Ed25519,seal,2,24492
Ed25519,verify_n2,2,116773
Ed25519,verify_n2,2,116973
Ed25519,verify_n2,2,117112
Ed25519,verify_n2,2,116897
Ed25519,verify_n2,2,117073
Ed25519,verify_n2,2,116866
Ed25519,verify_n2,2,117076
Ed25519,verify_n2,2,239621
Ed25519,verify_n2,2,139382
Ed25519,verify_n2,2,124340
Ed25519,verify_n2,2,120120
Ed25519,verify_n2,2,119676
Ed25519,verify_n2,2,119861
Ed25519,verify_n2,2,129595
Ed25519,verify_n2,2,136935
Ed25519,verify_n2,2,119731
Ed25519,verify_n2,2,119635
Ed25519,verify_n2,2,119692
Ed25519,verify_n2,2,119575
Ed25519,verify_n2,2,119582
Ed25519,verify_n2,2,119399
Ed25519,verify_n2,2,133343
Ed25519,verify_n2,2,120068
Ed25519,verify_n2,2,119557
Ed25519,verify_n2,2,119554
Ed25519,verify_n2,2,119759
Ed25519,verify_n2,2,119676
Ed25519,verify_n2,2,119420
Ed25519,verify_n2,2,119528
Ed25519,verify_n2,2,119826
Ed25519,verify_n2,2,119539
Ed25519,verify_n2,2,119622
Ed25519,verify_n2,2,119452
Ed25519,verify_n2,2,128798
Ed25519,verify_n2,2,120785
Ed25519,verify_n2,2,119616
Ed25519,verify_n2,2,119543
Ed25519,verify_n2,2,129503
Ed25519,verify_n2,2,120159
Ed25519,verify_n2,2,119587
Ed25519,verify_n2,2,119313
Ed25519,verify_n2,2,119479
