profile,n,mode,loss_pct,samples,fail,fail_rate,p50_us,p95_us,p99_us,tail_ratio,p50_amp,p99_amp
hyb-ed-fndsa512,10,ka,3,1000,0,0.0,63082.456,125649.7944499999,310420.67402,4.920871724144665,2.769576030770776,12.418724934401682
hyb-ed-fndsa512,10,ka,5,1000,0,0.0,68291.143,167830.17939999994,376360.31399999995,5.511114581871912,2.998258545398731,15.056713701645762
hyb-ed-fndsa512,10,new,0,400,0,0.0,64875.021,66829.57535,68469.33347,1.055403642489765,1.0,1.0
hyb-ed-fndsa512,10,new,1,400,0,0.0,64986.0255,87123.88339999999,1078246.75856,16.591978817969103,1.001711051469255,15.747878705909068
hyb-ed-fndsa512,10,new,3,400,0,0.0,64742.4215,149828.48065,1085826.9273699997,16.77149081255788,0.9979560777329073,15.85858766751041
hyb-ed-fndsa512,10,new,5,400,0,0.0,66654.7165,1072417.25605,1130350.6310899993,16.958299283892377,1.0274326770545477,16.508859861842605
hyb-ed-fndsa512,20,ka,0,1000,0,0.0,23424.6785,24982.6097,25547.01107,1.0906024204345004,1.0,1.0
hyb-ed-fndsa512,20,ka,1,1000,0,0.0,63902.6635,89332.4674,137296.2666,2.1485218155265153,2.728006000167729,5.374259486708713
hyb-ed-fndsa512,20,ka,3,1000,0,0.0,88929.02,192546.18279999998,376280.92676999996,4.231250122513438,3.7963816664548884,14.728960884659763
hyb-ed-fndsa512,20,ka,5,1000,0,0.0,127856.0365,318018.81389999995,500843.18675999984,3.917243178111499,5.458176789918376,19.604766498423874
hyb-ed-fndsa512,20,new,0,400,0,0.0,87800.6005,90646.68695,91296.01448,1.0398108208838504,1.0,1.0
hyb-ed-fndsa512,20,new,1,400,0,0.0,87784.18,111610.72874999928,188791.62788999177,2.1506338373268594,0.9998129796390173,2.0679065670643255
hyb-ed-fndsa512,20,new,3,400,0,0.0,87587.2635,355136.12059999944,1109088.1933799998,12.662665198804845,0.9975702102401908,12.148265175616896
hyb-ed-fndsa512,20,new,5,400,0,0.0,88899.7465,1092148.659,1141757.08203,12.843198400233907,1.012518661532389,12.50609994897556
mix-mldsa87-fndsa512,1,ka,0,1000,0,0.0,21288.358,22211.09465,22870.81736,1.0743344958779817,1.0,1.0
mix-mldsa87-fndsa512,1,ka,1,1000,0,0.0,21948.148,43441.901399999995,92105.76202999997,4.196516354363929,1.0309929962658464,4.027217767524508
mix-mldsa87-fndsa512,1,ka,3,1000,0,0.0,42733.5535,112117.89699999997,290961.53261999995,6.808737134860548,2.0073672896707206,12.721956021076807
