profile,n,mode,rtt_ms,samples,total_p50_us,total_p95_us,total_p99_us,tsrv_us,rho,p50_ci_lo_us,p50_ci_hi_us,fail,fail_rate
hyb-ed-fndsa512,1,ka,0,1000,516.5955,1087.9692,1566.3528099999994,375.729,0.7273176014889793,497.621,528.775,0,0.0
hyb-ed-fndsa512,1,ka,1,1000,1605.5185,2276.72945,2602.90075,401.3085,0.2499556996696083,1594.0605,1620.7935375,0,0.0
hyb-ed-fndsa512,1,ka,5,1000,5780.8965,6524.7455,6980.784529999999,512.4055,0.08863772254009392,5754.5501375,5799.902125,0,0.0
hyb-ed-fndsa512,1,ka,20,1000,20921.4665,21590.8332,22820.98261,616.501,0.02946738939165665,20890.909262499998,20951.055712499998,0,0.0
hyb-ed-fndsa512,1,ka,50,1000,50979.3895,51792.51605,53072.8226,638.4285,0.012523266878274406,50949.382,51015.9985,0,0.0
hyb-ed-fndsa512,1,ka,100,400,101107.0555,102354.48845,103268.93261,638.6705,0.006316774797185148,101035.923,101170.394,0,0.0
hyb-ed-fndsa512,1,ka,200,400,201391.526,202573.6276,203673.69168000002,708.585,0.0035184449617805666,201322.94,201509.387,0,0.0
hyb-ed-fndsa512,1,new,0,400,700.362,1273.348449999999,2230.6134499999944,415.803,0.5936972594172728,647.306,729.401,0,0.0
hyb-ed-fndsa512,1,new,1,400,2960.0655,3774.4448999999995,4368.961469999998,463.4885,0.15658048783042133,2920.456,2997.4286749999997,0,0.0
hyb-ed-fndsa512,1,new,5,400,11160.8225,11823.214649999996,12861.30057,623.5195,0.05586680551545372,11123.082,11213.2245,0,0.0
hyb-ed-fndsa512,1,new,20,400,41427.5415,42426.9442,43210.80382,729.4635,0.017608177400534376,41355.644,41460.1125,0,0.0
hyb-ed-fndsa512,1,new,50,400,101708.1865,103107.84255,104346.79458,791.3,0.007780101358900938,101627.089075,101781.4965,0,0.0
hyb-ed-fndsa512,1,new,100,200,202032.55,203608.42145,205202.05665,690.7605,0.0034190554937805814,201887.3183125,202123.0119875,0,0.0
hyb-ed-fndsa512,1,new,200,200,402188.114,403846.877,404834.59209,818.1575,0.0020342657366547636,402008.4925,402330.41,0,0.0
hyb-ed-fndsa512,5,ka,0,1000,923.89,1778.7642999999996,2193.6916800000004,759.571,0.8221444111311953,911.97,938.9678125,0,0.0
hyb-ed-fndsa512,5,ka,1,1000,2046.285,3150.1431,3873.31546,786.383,0.38429788616932636,2026.549,2065.2916375,0,0.0
hyb-ed-fndsa512,5,ka,5,1000,6328.2365,7440.1923,8378.26738,1040.1415,0.16436514343292954,6279.37505,6384.4027750000005,0,0.0
hyb-ed-fndsa512,5,ka,20,1000,21564.648,22969.43105,23768.94285,1237.279,0.057375339490818494,21507.6069625,21632.393,0,0.0
hyb-ed-fndsa512,5,ka,50,1000,51660.5295,53105.65545,54876.457,1279.132,0.024760334676786462,51595.717,51723.388075,0,0.0
hyb-ed-fndsa512,5,ka,100,400,101992.9735,104040.70125,105439.0291,1453.634,0.014252295527005103,101895.893,102115.0448875,0,0.0
hyb-ed-fndsa512,5,ka,200,400,202076.7705,203714.70880000002,204837.01457,1324.457,0.006554226874879713,201948.554,202159.53319999998,0,0.0
hyb-ed-fndsa512,5,new,0,400,1003.1045,1925.9811999999986,3102.799799999999,765.12,0.7627520363032965,973.306,1042.4915,0,0.0
hyb-ed-fndsa512,5,new,1,400,4369.0985,5500.539149999999,6156.211209999996,907.006,0.20759568592925978,4322.629,4432.437,0,0.0
hyb-ed-fndsa512,5,new,5,400,16924.271,18239.33675,18883.28437,1274.1215,0.07528368577884388,16814.675362500002,17004.352,0,0.0
hyb-ed-fndsa512,5,new,20,400,62244.1105,64259.90735,66223.29392,1313.992,0.02111030247592662,62163.296,62349.392575000005,0,0.0
hyb-ed-fndsa512,5,new,50,400,152710.583,154886.55275,156075.03074000002,1379.9865,0.009036613395680638,152615.61044999998,152828.706,0,0.0
hyb-ed-fndsa512,5,new,100,200,303334.4585,305970.24345,308200.43954000005,1493.8755,0.004924846017782711,303183.2475,303502.1852,0,0.0
